,expiry_date,price
0,31-Jan-2013,6034.75
1,28-Feb-2013,5693.05
2,28-Mar-2013,5682.55
3,25-Apr-2013,5916.30
4,30-May-2013,6124.05
5,27-Jun-2013,5682.35
6,25-Jul-2013,5907.50
7,29-Aug-2013,5409.05
8,26-Sep-2013,5882.25
9,31-Oct-2013,6299.15
10,28-Nov-2013,6091.85
11,26-Dec-2013,6278.90
12,30-Jan-2014,6073.70
13,26-Feb-2014,6238.80
14,27-Mar-2014,6641.75
15,24-Apr-2014,6840.80
16,29-May-2014,7235.65
17,26-Jun-2014,7493.20
18,31-Jul-2014,7721.30
19,28-Aug-2014,7954.35
20,25-Sep-2014,7911.85
21,30-Oct-2014,8169.20
22,27-Nov-2014,8494.20
23,24-Dec-2014,8174.10
24,29-Jan-2015,8952.35
25,26-Feb-2015,8683.85
26,26-Mar-2015,8342.15
27,30-Apr-2015,8181.50
28,28-May-2015,8319.00
29,25-Jun-2015,8398.00
30,30-Jul-2015,8421.80
31,27-Aug-2015,7948.95
32,24-Sep-2015,7868.50
33,29-Oct-2015,8111.75
34,26-Nov-2015,7883.80
35,31-Dec-2015,7946.35
36,28-Jan-2016,7424.65
37,25-Feb-2016,6970.60
38,31-Mar-2016,7738.40
39,28-Apr-2016,7847.25
40,26-May-2016,8069.65
41,30-Jun-2016,8287.75
42,28-Jul-2016,8666.30
43,25-Aug-2016,8592.20
44,29-Sep-2016,8591.25
45,27-Oct-2016,8615.25
46,24-Nov-2016,7965.50
47,29-Dec-2016,8103.60
48,25-Jan-2017,8602.75
49,23-Feb-2017,8939.50
50,30-Mar-2017,9173.75
51,27-Apr-2017,9342.15
52,25-May-2017,9509.75
53,29-Jun-2017,9504.10
54,27-Jul-2017,10020.55
55,31-Aug-2017,9917.90
56,28-Sep-2017,9768.95
57,26-Oct-2017,10343.80
58,30-Nov-2017,10226.55
59,28-Dec-2017,10477.90
60,25-Jan-2018,11069.65
61,22-Feb-2018,10382.70
62,28-Mar-2018,10113.70
63,26-Apr-2018,10617.80
64,31-May-2018,10736.15
65,28-Jun-2018,10589.10
66,26-Jul-2018,11167.30
67,30-Aug-2018,11676.80
68,27-Sep-2018,10977.55
69,25-Oct-2018,10124.90
70,29-Nov-2018,10858.70
71,27-Dec-2018,10779.80
72,31-Jan-2019,10830.95
73,28-Feb-2019,10792.50
74,28-Mar-2019,11570.00
75,25-Apr-2019,11641.80
76,30-May-2019,11945.90
77,27-Jun-2019,11841.55
78,25-Jul-2019,11252.15
79,29-Aug-2019,10948.30
80,26-Sep-2019,11571.20
81,31-Oct-2019,11877.45
82,28-Nov-2019,12151.15
83,26-Dec-2019,12126.55
84,30-Jan-2020,12035.80
85,27-Feb-2020,11633.30
86,26-Mar-2020,8641.45
87,30-Apr-2020,9859.90
88,28-May-2020,9490.10
89,25-Jun-2020,10288.90
90,30-Jul-2020,11102.15
91,27-Aug-2020,11559.25
92,24-Sep-2020,10805.55
93,29-Oct-2020,11670.80
94,26-Nov-2020,12987.00
95,31-Dec-2020,13981.75
96,28-Jan-2021,13817.55
97,25-Feb-2021,15097.35
98,25-Mar-2021,14324.90
99,29-Apr-2021,14894.90
100,27-May-2021,15337.85
101,24-Jun-2021,15790.45
102,29-Jul-2021,15778.45
103,26-Aug-2021,16636.90
104,30-Sep-2021,17618.15
105,28-Oct-2021,17857.25
106,25-Nov-2021,17536.25
107,30-Dec-2021,17203.95
108,27-Jan-2022,17110.15
109,24-Feb-2022,16247.95
110,31-Mar-2022,17464.75
111,28-Apr-2022,17245.05
112,26-May-2022,16170.15
113,30-Jun-2022,15780.25
114,28-Jul-2022,16929.60
115,25-Aug-2022,17522.45
116,29-Sep-2022,16818.10
117,27-Oct-2022,17736.95
118,24-Nov-2022,18484.10
119,29-Dec-2022,18191.00
120,25-Jan-2023,17891.95
121,23-Feb-2023,17511.25
122,29-Mar-2023,17080.70
123,27-Apr-2023,17915.05
124,25-May-2023,18321.15
125,29-Jun-2023,18972.10
126,27-Jul-2023,19659.90
127,31-Aug-2023,19253.80
128,28-Sep-2023,19523.55
129,26-Oct-2023,18857.25
130,30-Nov-2023,20133.15
131,28-Dec-2023,21778.70
132,04-Jan-2024,21658.60
